,cost_patients,cost_doctors,graph_patients,graph_doctors,graph_age_p,graph_age_d,graph_sex_p,graph_sex_d,graph_distance,cost_age_p,cost_age_d,cost_sex_p,cost_sex_d,cost_distance
0,1.2082152269553261,1.643769813084799,0.34412694698562873,0.36194046042357547,0.021896510644444058,0.017850222474243643,0.3138162151635592,0.25411084580656135,26.268296896602195,0.01211062695027576,0.03161378956255855,0.43522569300705594,0.8262093877996816,7.381858626032134e-09
1,0.9936180504792813,0.3295547753307492,0.33246847044955374,0.36631916500525075,0.020647966898067232,0.018118366616109893,0.3243466031028522,0.18585384800142768,24.82303335350686,0.005491832485424452,0.010861530045472073,0.3258893972823216,0.3356956076859065,1.0317051203634352e-08
2,1.138837754807426,1.4762226185815637,0.3264066300984158,0.35983823327775327,0.022017793189443857,0.015599231232559463,0.2872371375788071,0.17320477475437415,25.023816835169292,0.00458657014064322,0.02310624822808279,0.3094057154496733,0.9818002484950238,8.765460019766191e-09
3,0.9352855744135533,0.9327693921786947,0.3345481434278426,0.4215493758892708,0.021465163492744962,0.01557982214025643,0.25574848235473635,0.2057761188962344,24.45913631883682,0.002883712602023184,0.019834002742563688,0.28651401468967597,0.6695109513187346,1.3464450603073441e-08
4,1.6204505290070421,2.579611877507748,0.33772747564852834,0.36506050768117393,0.02101465619041003,0.01620390360562888,0.3015733708687574,0.2332215072898852,25.828747167361552,0.0030655301375138457,0.04961111018432469,0.2943938513172769,0.9094413626624405,1.1090338572494752e-08
5,1.046474942027745,1.3160986787759819,0.32869057268607177,0.3775051841609012,0.02125352682285864,0.01623298908434575,0.30783769342932216,0.2990384099877407,26.44438611087115,0.004616689506877341,0.02534281707528558,0.34455132200565847,0.6240366525837375,1.190690982061371e-08
6,1.1036393736301278,0.9694381318823924,0.3411542082373809,0.3767328741026886,0.022315385635375145,0.015343292369746669,0.3162646275455749,0.23910418359362937,25.958258253200512,0.003567199811020351,0.020993270915699348,0.2926543679200257,0.5978955674524649,6.772005672339709e-09
7,1.7386068920764746,3.1372896948932616,0.3325392711684865,0.38734909702237175,0.02100629775428726,0.017325556952193635,0.29860476108594114,0.2452898160610981,25.327652173919795,0.005829039047494491,0.05286014145327545,0.33647049823789454,1.0827792450880949,8.999790736263779e-09
8,1.1486895035409521,1.2846232170083676,0.3329735795313129,0.37792949097460576,0.022278088272277174,0.01590370182354928,0.31464799183870334,0.226924410832865,25.723719724759395,0.0013748195891649594,0.02786850499326949,0.3146783171304062,0.6151331070124054,9.848469195716803e-09
9,1.4332775673997373,2.522101658255841,0.32617056256157584,0.3531298579864516,0.021239830981059117,0.017504380459507463,0.26554628934034225,0.2512691892032718,25.10417160987039,0.01348366703633681,0.05735737182809819,0.4226200691102647,0.9860632845475553,9.096422552978822e-09
